issue_id,timestamp,category,description,municipality,district,state,age_group,gender,origin,responsible_entity_id,responsible_entity_name,responsible_entity_level,description_length,description_words,has_verkehr_keywords,has_bildung_keywords,has_umwelt_keywords,has_gesundheit_keywords,hour,day_of_week,day_of_month,week_of_year,month,quarter,is_weekend,is_business_hours,is_morning,is_afternoon
ISS_20250613033938_7229,2024-09-08 11:56:00,Verkehr,"Die Bushaltestelle an der Dorfstraße hat kein Wartehäuschen und bei Regen stehen alle Fahrgäste im Wasser. Besonders mit kleinen Kindern ist das sehr schwierig, bitte um eine überdachte Wartestelle.",Dohren,Gemeinde,Niedersachsen,25-34,female,migrant_non_eu,LAND_04_VM,Bremen - Ministerium für Verkehr,Land,198,29,True,False,False,False,11,6,8,36,9,3,True,True,True,False
ISS_20250613034202_3466,2024-02-14 11:27:00,Bildung,"Die Schulbuslinie zur Grundschule fährt seit drei Wochen unregelmäßig, meine Enkelin kommt ständig zu spät zum Unterricht. Als Rentner kann ich nicht jeden Tag fahren - die Gemeinde muss endlich für verlässliche Beförderung sorgen.",Sonnenbühl,Gemeinde,Baden-Württemberg,65+,male,citizen,LAND_07_BM,Rheinland-Pfalz - Ministerium für Bildung,Land,231,34,True,True,False,False,11,2,14,7,2,1,False,True,True,False
ISS_20250613033936_2140,2025-06-01 14:39:00,Migration,"Die Bearbeitung meines Antrags auf Familienzusammenführung für meinen Schwiegersohn dauert bereits acht Monate ohne jede Rückmeldung. Ich bitte um eine Statusmitteilung, da meine Tochter und ihr Mann endlich zusammenleben möchten.",Mehren,Gemeinde,Rheinland-Pfalz,55-64,female,citizen,LAND_02_SM,Hamburg - Ministerium für Soziales,Land,230,30,False,False,False,False,14,6,1,22,6,2,True,True,False,True
ISS_20250613034253_7225,2024-04-16 12:38:00,Digitalisierung,Die Online-Terminbuchung für das Bürgerbüro funktioniert seit Wochen nicht richtig - man kann keine Termine buchen und die Telefonnummer ist ständig besetzt. Für einfache Anliegen wie Personalausweis verlängern muss man jetzt stundenlang anstehen.,Buch,Gemeinde,Bayern,35-44,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,247,33,False,False,False,False,12,1,16,16,4,2,False,True,True,True
ISS_20250613034237_8627,2024-06-09 11:13:00,Wirtschaft,"Die Gewerbeanmeldung für meinen kleinen Handwerksbetrieb dauert bereits seit drei Monaten - ständig werden neue Unterlagen verlangt und niemand kann mir sagen, wann endlich eine Entscheidung fällt. So kann ich nicht arbeiten und Geld verdienen.",Vielank,Gemeinde,Mecklenburg-Vorpommern,25-34,male,citizen,LAND_14_FM,Sachsen - Ministerium der Finanzen,Land,244,35,False,False,False,False,11,6,9,23,6,2,True,True,True,False
ISS_20250613034120_2217,2024-03-08 11:27:00,Wirtschaft,"Die Bearbeitung meines Gewerbescheins dauert bereits drei Monate, obwohl alle Unterlagen vollständig eingereicht wurden. Mein kleiner Friseursalon kann nicht eröffnen und ich verliere täglich Kunden an die Konkurrenz - das kostet mich meine Existenz.",Gardelegen,Stadt,Sachsen-Anhalt,35-44,female,migrant_eu,LAND_05_MW,Nordrhein-Westfalen - Ministerium für Wirtschaft,Land,250,34,False,False,False,False,11,4,8,10,3,1,False,True,True,False
ISS_20250613034209_3892,2023-10-04 09:27:00,Gesundheit,"Die Wartezeit beim Hausarzt in Insingen beträgt mittlerweile über drei Wochen für einen normalen Termin. Als berufstätige Mutter ist es unmöglich, spontan während der wenigen Sprechstunden vorbeizukommen, wenn man krank ist.",Insingen,Gemeinde,Bayern,35-44,female,citizen,LAND_02_SM,Hamburg - Ministerium für Soziales,Land,224,31,False,False,False,True,9,2,4,40,10,4,False,True,True,False
ISS_20250613033841_3454,2023-04-12 23:46:00,Wirtschaft,"Die örtlichen Geschäfte in der Hauptstraße stehen seit Monaten leer, weil die Mieten viel zu hoch sind. Unsere Gemeinde verliert dadurch ihre Attraktivität und die wenigen verbliebenen Läden kämpfen ums Überleben.",Schmalenberg,Gemeinde,Rheinland-Pfalz,55-64,female,citizen,LAND_07_FM,Rheinland-Pfalz - Ministerium der Finanzen,Land,213,31,True,False,False,False,23,2,12,15,4,2,False,False,False,False
ISS_20250613033925_1290,2023-08-14 11:16:00,Sicherheit,"Die Straßenbeleuchtung in der Schillerstraße ist seit drei Wochen kaputt, wodurch der Gehweg abends völlig dunkel ist. Als berufstätige Mutter fühle ich mich sehr unsicher, wenn ich spät von der Arbeit nach Hause laufe.",Rudolstadt,Stadt,Thüringen,35-44,female,citizen,LAND_10_UM,Saarland - Ministerium für Umwelt,Land,219,34,True,False,False,False,11,0,14,33,8,3,False,True,True,False
ISS_20250613033958_9954,2025-06-12 14:03:00,Gesundheit,Die Wartezeit für einen Facharzttermin beim Orthopäden hier in Baiersbronn beträgt über vier Monate. Als Rentner mit Rückenproblemen ist das unzumutbar - es gibt viel zu wenige Fachärzte in unserer Region.,Baiersbronn,Gemeinde,Baden-Württemberg,55-64,male,citizen,LAND_07_SM,Rheinland-Pfalz - Ministerium für Soziales,Land,205,31,False,False,False,True,14,3,12,24,6,2,False,True,False,True
ISS_20250613034009_5710,2024-03-26 20:37:00,Sicherheit,"Der Fußweg entlang der Neustädter Straße ist abends völlig unbeleuchtet und sehr gefährlich. Besonders für ältere Bürger ist das Sturzrisiko hoch, da man die Gehwegplatten und Schlaglöcher nicht sehen kann.",Titisee-Neustadt,Stadt,Baden-Württemberg,45-54,male,citizen,LAND_09_UM,Bayern - Ministerium für Umwelt,Land,206,30,True,False,False,False,20,1,26,13,3,1,False,False,False,False
ISS_20250613034259_2995,2025-04-01 20:27:00,Migration,"Die Sprachkurse für Geflüchtete in unserer Gemeinde sind völlig überfüllt und chaotisch organisiert. Meine Nachbarn warten seit Monaten auf einen Platz, während die Integration dadurch blockiert wird - das kann so nicht weitergehen.",Hambergen,Gemeinde,Niedersachsen,45-54,male,citizen,LAND_02_SM,Hamburg - Ministerium für Soziales,Land,232,33,False,False,False,False,20,1,1,14,4,2,False,False,False,False
ISS_20250613033706_4459,2023-07-05 12:26:00,Umwelt,Die Grünschnittsammelstelle an der Industriestraße ist völlig überfüllt und der Biomüll liegt überall verstreut herum. Das stinkt furchtbar und lockt Ungeziefer an - meine Nachbarn und ich können kaum noch die Fenster öffnen.,Wertheim,Stadt,Baden-Württemberg,45-54,female,citizen,LAND_11_MW,Berlin - Ministerium für Wirtschaft,Land,225,33,True,False,True,False,12,2,5,27,7,3,False,True,True,True
ISS_20250613033746_9040,2023-07-29 09:37:00,Umwelt,"Die Bayer-Werke stoßen nachts wieder verstärkt übelriechende Dämpfe aus, die bis in unser Wohngebiet ziehen. Meine Nachbarn und ich können bei dem Gestank kaum noch die Fenster öffnen - das kann doch nicht gesund sein!",Leverkusen,Stadt,Nordrhein-Westfalen,25-34,diverse,citizen,LAND_02_UM,Hamburg - Ministerium für Umwelt,Land,218,35,False,False,False,False,9,5,29,30,7,3,True,True,True,False
ISS_20250613033915_9765,2023-08-12 03:56:00,Wirtschaft,"Die örtlichen Geschäfte in Nortmoor schließen einer nach dem anderen, weil keine Nachfolger gefunden werden. Als EU-Bürgerin mache ich mir Sorgen um die Wirtschaft unserer kleinen Gemeinde und bitte um Unterstützung für lokale Betriebe.",Nortmoor,Gemeinde,Niedersachsen,55-64,female,migrant_eu,LAND_12_MW,Brandenburg - Ministerium für Wirtschaft,Land,236,34,False,False,False,False,3,5,12,32,8,3,True,False,False,False
ISS_20250613034213_5603,2023-03-05 10:12:00,Sicherheit,"Die Straßenbeleuchtung in der Industriestraße ist seit Wochen kaputt. Abends ist es dort stockdunkel und ich fühle mich als älterer Mann sehr unsicher, wenn ich von der Spätschicht nach Hause gehe.",Gescher,Stadt,Nordrhein-Westfalen,55-64,male,migrant_non_eu,LAND_01_UM,Schleswig-Holstein - Ministerium für Umwelt,Land,197,31,True,False,False,False,10,6,5,9,3,1,True,True,True,False
ISS_20250613034114_4100,2025-02-03 10:49:00,Sicherheit,"Die Straßenbeleuchtung in der Berliner Straße ist seit Wochen defekt, wodurch der Gehweg abends völlig dunkel ist. Als Frau fühle ich mich dort sehr unsicher und musste bereits mehrfach Umwege gehen, um sicher nach Hause zu kommen.",Premnitz,Stadt,Brandenburg,45-54,female,citizen,LAND_04_IM,Bremen - Ministerium des Innern,Land,231,37,True,False,False,False,10,0,3,6,2,1,False,True,True,False
ISS_20250613034019_6514,2024-04-18 19:01:00,Bildung,"Die Schulbusse zu unserer Grundschule kommen seit drei Wochen immer 10-15 Minuten zu spät an. Meine Kinder verpassen dadurch regelmäßig die erste Stunde und ich muss sie oft selbst fahren, was beruflich sehr schwierig ist.",Böbrach,Gemeinde,Bayern,45-54,female,citizen,LAND_03_BM,Niedersachsen - Ministerium für Bildung,Land,222,35,True,True,False,False,19,3,18,16,4,2,False,False,False,False
ISS_20250613033816_8136,2023-06-24 06:39:00,Gesundheit,"Die Wartezeit für einen Facharzttermin beim Orthopäden in Billerbeck beträgt über drei Monate. Meine Rückenschmerzen verschlimmern sich täglich, aber ich bekomme keinen zeitnahen Termin und muss nach Münster fahren.",Billerbeck,Stadt,Nordrhein-Westfalen,35-44,female,citizen,LAND_12_SM,Brandenburg - Ministerium für Soziales,Land,215,29,False,False,False,True,6,5,24,25,6,2,True,False,True,False
ISS_20250613033730_7779,2023-05-06 06:34:00,Bildung,Die Computertechnik an der örtlichen Grundschule ist völlig veraltet - die Kinder meiner Enkelin arbeiten noch mit Geräten aus den 2000ern. Wie sollen unsere Kinder so auf die digitale Zukunft vorbereitet werden?,Wartmannsroth,Gemeinde,Bayern,55-64,male,citizen,LAND_02_BM,Hamburg - Ministerium für Bildung,Land,212,32,False,True,False,False,6,5,6,18,5,2,True,False,True,False
ISS_20250613033954_8152,2024-09-18 12:45:00,Digitalisierung,"Das Online-Portal der Gemeinde ist viel zu kompliziert für uns ältere Bürger. Ich brauche einen Termin im Bürgerbüro, aber die Webseite ist unverständlich und ich finde nicht mal die Telefonnummer.",Schöneck,Gemeinde,Hessen,65+,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,197,30,False,False,False,False,12,2,18,38,9,3,False,True,True,True
ISS_20250613033847_8641,2023-08-21 11:45:00,Gesundheit,"Die Wartezeit beim Hausarzt in Pyrbaum beträgt mittlerweile über drei Wochen für einen normalen Termin. Für berufstätige Menschen ist das untragbar, besonders wenn man krank ist und schnell Hilfe braucht.",Pyrbaum,Gemeinde,Bayern,25-34,male,citizen,LAND_13_SM,Mecklenburg-Vorpommern - Ministerium für Soziales,Land,204,30,False,False,False,True,11,0,21,34,8,3,False,True,True,False
ISS_20250613033735_5435,2023-12-05 19:58:00,Verkehr,"Die Bushaltestelle an der Dresdner Straße hat kein Wartehäuschen und bei Regen stehen alle Fahrgäste im Freien. Besonders für ältere Leute und Familien mit Kindern ist das ein Problem, vor allem im Winter.",Thiendorf,Gemeinde,Sachsen,25-34,male,citizen,LAND_14_VM,Sachsen - Ministerium für Verkehr,Land,205,33,True,False,False,False,19,1,5,49,12,4,False,False,False,False
ISS_20250613034202_3316,2024-07-28 11:06:00,Digitalisierung,Die Online-Terminbuchung für das Bürgerbüro ist seit Wochen außer Betrieb und am Telefon erreicht man niemanden. Warum kann man in Bad Doberan im Jahr 2024 immer noch keine einfachen Behördengänge digital erledigen?,Bad Doberan,Stadt,Mecklenburg-Vorpommern,35-44,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,215,32,False,False,False,False,11,6,28,30,7,3,True,True,True,False
ISS_20250613034213_4206,2023-07-10 10:38:00,Migration,Die Bearbeitung meines Antrags auf Familienzusammenführung dauert bereits über 8 Monate ohne jede Rückmeldung von der Ausländerbehörde. Meine Frau wartet in Polen und wir brauchen endlich eine Antwort oder wenigstens einen Zwischenstand.,Milower Land,Gemeinde,Brandenburg,25-34,male,citizen,LAND_02_SM,Hamburg - Ministerium für Soziales,Land,237,32,False,False,False,False,10,0,10,28,7,3,False,True,True,False
ISS_20250613034215_5828,2023-08-10 23:42:00,Gesundheit,"Die Wartezeit beim Hausarzt in Fürstenberg ist unmöglich geworden - drei Wochen für einen normalen Termin! Für ältere Leute oder Familien mit Kindern ist das ein echtes Problem, besonders wenn andere Praxen auch überlastet sind.",Fürstenberg/Havel,Stadt,Brandenburg,35-44,male,citizen,LAND_05_GM,Nordrhein-Westfalen - Ministerium für Gesundheit,Land,228,35,False,False,False,True,23,3,10,32,8,3,False,False,False,False
ISS_20250613033702_9305,2023-08-29 15:24:00,Verkehr,"Die Baustelle in der Ingolstädter Straße dauert schon seit drei Monaten und es gibt keine Umleitung. Jeden Tag stehe ich eine halbe Stunde im Stau, um zur Arbeit zu kommen. Wann wird das endlich fertig?",Neuburg a.d.Donau,Stadt,Bayern,25-34,male,migrant_eu,LAND_04_VM,Bremen - Ministerium für Verkehr,Land,202,35,True,False,False,False,15,1,29,35,8,3,False,True,False,True
ISS_20250613034137_8533,2024-06-04 03:34:00,Wirtschaft,"Die Gewerbeanmeldung für meinen kleinen Handwerksbetrieb dauert jetzt schon drei Monate - das ist viel zu lang! Andere Gemeinden schaffen das in zwei Wochen, warum ist das hier so kompliziert und langsam?",Rehhorst,Gemeinde,Schleswig-Holstein,35-44,male,citizen,LAND_12_MW,Brandenburg - Ministerium für Wirtschaft,Land,204,32,False,False,False,False,3,1,4,23,6,2,False,False,False,False
ISS_20250613034056_1722,2025-05-04 07:54:00,Gesundheit,"Die Hausarztpraxis in Würrich hat seit drei Monaten geschlossen und der nächste Arzt ist 15 Kilometer entfernt. Für ältere Bürger ohne Auto ist das ein echtes Problem, besonders bei Notfällen oder regelmäßigen Kontrollterminen.",Würrich,Gemeinde,Rheinland-Pfalz,35-44,male,citizen,LAND_12_GM,Brandenburg - Ministerium für Gesundheit,Land,227,33,False,False,False,True,7,6,4,18,5,2,True,False,True,False
ISS_20250613033752_6827,2023-06-08 01:18:00,Gesundheit,"Die Wartezeit beim Hausarzt in Diesdorf ist unmöglich geworden - drei Wochen für einen normalen Termin! Als junge Berufstätige kann ich nicht einfach spontan kommen, wenn jemand absagt. Wir brauchen dringend mehr Ärzte hier.",Diesdorf,Gemeinde,Sachsen-Anhalt,18-24,female,citizen,LAND_07_GM,Rheinland-Pfalz - Ministerium für Gesundheit,Land,224,34,False,False,False,True,1,3,8,23,6,2,False,False,False,False
ISS_20250613033649_3258,2023-05-08 06:06:00,Sicherheit,"Der Fußweg entlang der Bahnhofstraße ist abends völlig unbeleuchtet und sehr unsicher. Besonders für Frauen ist es gefährlich, dort nach Einbruch der Dunkelheit zu gehen - wir brauchen dringend bessere Straßenbeleuchtung.",Ankum,Gemeinde,Niedersachsen,35-44,female,citizen,LAND_02_UM,Hamburg - Ministerium für Umwelt,Land,221,31,True,False,False,False,6,0,8,19,5,2,False,False,True,False
ISS_20250613034051_6040,2023-03-09 11:40:00,Digitalisierung,"Die Online-Terminbuchung für den Bürgerservice ist seit drei Wochen außer Betrieb. Ich muss wegen meines neuen Personalausweises aber ständig in der Warteschleife hängen oder persönlich vorbeikommen, was bei meinen Arbeitszeiten unmöglich ist.",Gladenbach,Stadt,Hessen,35-44,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,243,32,False,False,False,False,11,3,9,10,3,1,False,True,True,False
ISS_20250613034153_3275,2025-04-30 18:41:00,Umwelt,Die Grünschnittsammelstelle an der Industriestraße ist völlig überfüllt und der Kompost fault vor sich hin. Der Gestank ist unerträglich und zieht Ungeziefer an - meine Nachbarn und ich können kaum noch die Fenster öffnen.,Rosengarten,Gemeinde,Baden-Württemberg,55-64,male,citizen,LAND_09_MW,Bayern - Ministerium für Wirtschaft,Land,222,34,True,False,True,False,18,2,30,18,4,2,False,False,False,True
ISS_20250613034252_3535,2023-10-26 00:34:00,Sicherheit,"Der Spielplatz am Dorfteich ist völlig ungepflegt - die Schaukeln sind kaputt, überall liegt Müll und abends treffen sich dort Jugendliche, die Alkohol trinken und laut Musik hören. Als Mutter fühle ich mich unsicher, dort mit meinem Kind zu spielen.",Amt Wachsenburg,Gemeinde,Thüringen,25-34,female,citizen,LAND_10_IM,Saarland - Ministerium des Innern,Land,250,40,False,False,True,False,0,3,26,43,10,4,False,False,False,False
ISS_20250613033710_6299,2023-03-05 19:26:00,Umwelt,"Die Baustelle an der Industriestraße produziert seit Wochen extremen Lärm und Staub, besonders nachts wird weitergearbeitet. Meine Familie kann nicht mehr schlafen und unsere Kinder bekommen Hustenanfälle vom ganzen Dreck in der Luft.",Salzgitter,Stadt,Niedersachsen,35-44,male,citizen,LAND_11_MW,Berlin - Ministerium für Wirtschaft,Land,234,33,True,False,True,False,19,6,5,9,3,1,True,False,False,False
ISS_20250613034046_6196,2025-04-19 00:17:00,Sicherheit,"Die Straßenbeleuchtung in der Mittelstraße ist seit Wochen defekt, wodurch der Gehweg abends völlig dunkel ist. Als Anwohner mache ich mir Sorgen um die Sicherheit, besonders für ältere Menschen und Kinder auf dem Schulweg.",Bassum,Stadt,Niedersachsen,45-54,male,citizen,LAND_01_UM,Schleswig-Holstein - Ministerium für Umwelt,Land,223,34,True,False,False,False,0,5,19,16,4,2,True,False,False,False
ISS_20250613034033_5057,2024-04-01 06:51:00,Digitalisierung,"Das Online-Portal der Stadtverwaltung ist eine Katastrophe - ständig Serverausfälle und die Formulare funktionieren nicht richtig. Für einen einfachen Antrag muss ich trotzdem persönlich vorbeikommen, obwohl alles digital sein sollte.",Schwarzheide,Stadt,Brandenburg,45-54,male,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,234,30,False,False,False,False,6,0,1,14,4,2,False,False,True,False
ISS_20250613033748_9679,2023-10-18 11:56:00,Verkehr,"Die Bushaltestelle an der Dorfstraße in Eichen hat kein Wartehäuschen und bei Regen müssen die Fahrgäste im Freien stehen. Besonders für ältere Mitbürger ist das ein Problem, da der nächste Unterstand 200 Meter entfernt ist.",Eichen,Gemeindefreies Gebiet,Bayern,55-64,male,citizen,LAND_08_VM,Baden-Württemberg - Ministerium für Verkehr,Land,224,35,True,False,False,False,11,2,18,42,10,4,False,True,True,False
ISS_20250613033723_8462,2023-07-04 16:12:00,Umwelt,"Die Mülldeponie am Ortsrand von Kalkar stinkt seit Wochen extrem und der Gestank zieht bis in die Wohngebiete. Meine Familie kann abends nicht mehr die Fenster öffnen, das ist unzumutbar.",Kalkar,Stadt,Nordrhein-Westfalen,45-54,male,citizen,LAND_13_MW,Mecklenburg-Vorpommern - Ministerium für Wirtschaft,Land,187,30,False,False,True,False,16,1,4,27,7,3,False,True,False,True
ISS_20250613034004_7605,2025-05-16 01:26:00,Gesundheit,Die Wartezeit für einen Facharzttermin beim Orthopäden beträgt hier in Erfurt über vier Monate. Für Rentner mit Gelenkproblemen ist das unzumutbar - wir brauchen dringend mehr Fachärzte in der Stadt.,Erfurt,Stadt,Thüringen,55-64,female,citizen,LAND_03_GM,Niedersachsen - Ministerium für Gesundheit,Land,199,30,False,False,False,True,1,4,16,20,5,2,False,False,False,False
ISS_20250613033933_8298,2023-03-19 02:16:00,Wirtschaft,"Die Innenstadt von Cottbus stirbt aus - immer mehr Geschäfte schließen und die Leerstände nehmen zu. Wann kommt endlich ein Konzept, um lokale Unternehmen zu unterstützen und neue Betriebe anzusiedeln?",Cottbus,Stadt,Brandenburg,35-44,diverse,citizen,LAND_12_FM,Brandenburg - Ministerium der Finanzen,Land,201,30,True,False,False,False,2,6,19,11,3,1,True,False,False,False
ISS_20250613034245_6035,2024-09-21 11:47:00,Verkehr,"Die Bushaltestelle an der Hauptstraße hat seit Monaten kein Wartehäuschen mehr, und bei diesem Wetter stehen die Leute im Regen. Besonders für ältere Bürger und Kinder ist das unzumutbar - wann wird das endlich repariert?",Gerstungen,Gemeinde,Thüringen,35-44,female,citizen,LAND_16_VM,Thüringen - Ministerium für Verkehr,Land,221,35,True,False,False,False,11,5,21,38,9,3,True,True,True,False
ISS_20250613034103_1626,2024-04-29 22:33:00,Migration,"Die Bearbeitung meines Aufenthaltstitels dauert bereits seit vier Monaten, obwohl alle Unterlagen vollständig eingereicht wurden. Meine Kinder können sich nicht für die weiterführende Schule anmelden, weil der neue Ausweis fehlt.",Gangloffsömmern,Gemeinde,Thüringen,35-44,female,migrant_non_eu,LAND_01_SM,Schleswig-Holstein - Ministerium für Soziales,Land,229,30,False,True,False,False,22,0,29,18,4,2,False,False,False,False
ISS_20250613033850_8913,2024-04-12 06:52:00,Digitalisierung,"Das Online-Portal der Stadt ist ständig überlastet und funktioniert nicht richtig. Ich kann seit Wochen keinen Termin für meinen neuen Personalausweis buchen, weil die Seite immer abstürzt oder ewig lädt.",Fürstenwalde/Spree,Stadt,Brandenburg,25-34,female,citizen,BUND_BUNDESMINISTERIUM_FÜR_DIGITALES_UND_VERKEHR,Bundesministerium für Digitales und Verkehr,Bund,204,30,False,False,False,False,6,4,12,15,4,2,False,False,True,False
ISS_20250613033726_9517,2025-04-13 00:49:00,Verkehr,"Die Baustelle in der Hauptstraße dauert schon über drei Monate und es gibt keine Umleitung für Radfahrer. Jeden Tag muss ich mit meinem Fahrrad auf die stark befahrene Straße ausweichen, das ist sehr gefährlich für alle Verkehrsteilnehmer.",Hofheim am Taunus,Stadt,Hessen,35-44,male,migrant_eu,LAND_11_VM,Berlin - Ministerium für Verkehr,Land,239,37,True,False,False,False,0,6,13,15,4,2,True,False,False,False
ISS_20250613034019_7092,2023-10-18 04:50:00,Wirtschaft,Die Gewerbesteuer für kleine Betriebe in Breiholz ist viel zu hoch im Vergleich zu den Nachbargemeinden. Dadurch wandern immer mehr Unternehmen ab und unsere Ortschaft verliert Arbeitsplätze und Steuereinnahmen.,Breiholz,Gemeinde,Schleswig-Holstein,45-54,male,citizen,LAND_13_FM,Mecklenburg-Vorpommern - Ministerium der Finanzen,Land,211,29,False,False,False,False,4,2,18,42,10,4,False,False,False,False
ISS_20250613033740_9373,2024-07-05 03:47:00,Gesundheit,"Die Wartezeit beim Gesundheitsamt für die Anerkennung meiner ausländischen Impfzeugnisse dauert schon drei Monate. Meine Kinder können deshalb nicht in die Kita und ich finde keine Arbeit im Gesundheitswesen, obwohl Fachkräfte gesucht werden.",Olpe,Stadt,Nordrhein-Westfalen,35-44,male,migrant_non_eu,LAND_11_SM,Berlin - Ministerium für Soziales,Land,242,33,False,True,False,False,3,4,5,27,7,3,False,False,False,False
ISS_20250613033922_6178,2023-06-12 10:46:00,Bildung,"Die Turnhalle der Grundschule Striegistal ist seit drei Monaten wegen Wasserschädens gesperrt. Mein Sohn und seine Klassenkameraden müssen seitdem den Sportunterricht in einem viel zu kleinen Klassenraum abhalten, was einfach nicht akzeptabel ist.",Striegistal,Gemeinde,Sachsen,45-54,female,citizen,LAND_16_BM,Thüringen - Ministerium für Bildung,Land,247,33,False,True,False,False,10,0,12,24,6,2,False,True,True,False
ISS_20250613034241_9153,2023-09-06 14:49:00,Gesundheit,Die Wartezeit beim Hausarzt in Neuhausen dauert mittlerweile über drei Wochen für einen normalen Termin. Für eine Gemeinde unserer Größe ist das nicht akzeptabel - wir brauchen dringend mehr Ärzte oder längere Sprechzeiten.,Neuhausen/Spree,Gemeinde,Brandenburg,35-44,male,citizen,LAND_01_SM,Schleswig-Holstein - Ministerium für Soziales,Land,223,33,False,False,False,True,14,2,6,36,9,3,False,True,False,True
ISS_20250613033703_1511,2025-05-13 09:50:00,Migration,Die Bearbeitung meines Antrags auf Verlängerung der Aufenthaltserlaubnis dauert bereits vier Monate. Ohne gültigen Ausweis kann ich nicht arbeiten und meine Familie nicht versorgen - bitte beschleunigen Sie das Verfahren.,Obere Warnow,Gemeinde,Mecklenburg-Vorpommern,55-64,male,migrant_non_eu,LAND_07_SM,Rheinland-Pfalz - Ministerium für Soziales,Land,221,30,False,False,False,False,9,1,13,20,5,2,False,True,True,False
ISS_20250613033925_6963,2024-01-27 00:15:00,Sicherheit,"Die Straßenbeleuchtung in der Kirchgasse ist seit Wochen kaputt, wodurch der Weg abends völlig dunkel ist. Besonders für ältere Bewohner und Kinder ist das sehr gefährlich - es gab bereits mehrere Stürze wegen der schlechten Sicht.",Oberleichtersbach,Gemeinde,Bayern,45-54,male,citizen,LAND_03_IM,Niedersachsen - Ministerium des Innern,Land,231,36,True,False,False,False,0,5,27,4,1,1,True,False,False,False
ISS_20250613033954_1061,2024-06-16 08:35:00,Migration,"Die Bearbeitungszeiten für Aufenthaltstitel im Bürgerbüro sind viel zu lang - meine Freundin wartet schon seit vier Monaten auf einen Termin für die Verlängerung. Das kann doch nicht normal sein, dass alles so lange dauert.",Derschen,Gemeinde,Rheinland-Pfalz,25-34,female,citizen,LAND_11_SM,Berlin - Ministerium für Soziales,Land,223,35,False,False,False,False,8,6,16,24,6,2,True,True,True,False
ISS_20250613033900_1149,2023-12-26 14:25:00,Migration,"Die Bearbeitungszeiten im Bürgerbüro sind seit Monaten extrem lang geworden. Für einen einfachen Personalausweis muss man wochenlang auf einen Termin warten, das ist unzumutbar für berufstätige Menschen.",Wiesenfelden,Gemeinde,Bayern,18-24,female,citizen,LAND_03_SM,Niedersachsen - Ministerium für Soziales,Land,203,27,False,False,False,False,14,1,26,52,12,4,False,True,False,True
ISS_20250613033804_4878,2023-01-30 14:53:00,Migration,"Die Wartezeiten im Bürgerbüro sind seit Monaten unerträglich geworden. Für einen einfachen Passantrag muss man jetzt über drei Stunden warten, weil das Personal völlig überlastet ist und zu wenig Termine verfügbar sind.",Freising,Stadt,Bayern,25-34,female,citizen,LAND_03_SM,Niedersachsen - Ministerium für Soziales,Land,219,32,False,False,False,False,14,0,30,5,1,1,False,True,False,True
ISS_20250613033915_6084,2025-03-06 23:16:00,Verkehr,Die Baustelle in der Wilhelmstraße dauert schon seit drei Monaten und es gibt keine Umleitung. Jeden Morgen stehe ich im Stau und komme zu spät zur Arbeit. Wann wird das endlich fertig?,Seesen,Stadt,Niedersachsen,45-54,female,citizen,LAND_13_VM,Mecklenburg-Vorpommern - Ministerium für Verkehr,Land,185,32,True,False,False,False,23,3,6,10,3,1,False,False,False,False
ISS_20250613034153_2358,2025-04-19 07:28:00,Sicherheit,"Die Straßenbeleuchtung in der Lindenstraße ist seit drei Wochen kaputt, wodurch der Gehweg abends völlig dunkel ist. Als Anwohner fühle ich mich unsicher beim Nachhausegehen und befürchte, dass es zu Unfällen oder Straftaten kommen könnte.",Weißendorf,Gemeinde,Thüringen,25-34,male,citizen,LAND_08_IM,Baden-Württemberg - Ministerium des Innern,Land,239,35,True,False,False,False,7,5,19,16,4,2,True,False,True,False
ISS_20250613033725_4665,2023-01-10 00:48:00,Migration,Das Bürgerbüro in Salzatal ist völlig überlastet - ich warte seit drei Monaten auf meinen neuen Personalausweis und bekomme nie einen Termin. Die wenigen Mitarbeiter schaffen die vielen Anträge einfach nicht mehr.,Salzatal,Gemeinde,Sachsen-Anhalt,18-24,female,citizen,LAND_09_SM,Bayern - Ministerium für Soziales,Land,213,32,False,False,False,False,0,1,10,2,1,1,False,False,False,False
ISS_20250613033837_1890,2024-09-03 00:56:00,Bildung,"Die Schule meines Sohnes hat seit Monaten keinen Deutschlehrer für die Förderklasse. Mein Kind braucht dringend zusätzliche Sprachunterstützung, aber der Unterricht fällt ständig aus oder wird von fachfremden Lehrern übernommen.",Triptis,Stadt,Thüringen,35-44,female,migrant_non_eu,LAND_10_BM,Saarland - Ministerium für Bildung,Land,228,30,False,True,False,False,0,1,3,36,9,3,False,False,False,False
